prefecture,CITY,SCHOOL NAME,ENTRANCE MONTH,ADDRESS,TEL,URL,EMAIL
Hokkaido,Sapporo,YOSHIDAGAKUEN COMPUTER  and  BUSINESS COLLEGE DEPARTMENT OF JAPANESE LANGAGE,4・10,"Higashi 16 Kita15-jo, Higasi-ku, Sapporo, 060-0063 JAPAN",+81-11-711-6317,http://www.yoshida-jbusiness.jp/jp/,nhg@yoshida-g.ac.jp
Hokkaido,Sapporo,SOKEN INSTITUTE OF JAPANESE LANGUAGE COURSE(SJC),4・10,"1-30 Nishi4, Kita20, Kita-ku, Sapporo-shi, Hokkaido 001-0020",+81-11-757-5522,http://www6.ocn.ne.jp/~kanyobi/j/,liuliu888@kanyobi.ac.jp
Hokkaido,Sapporo,SAPPORO LANGUAGE CENTER JAPANESE COURSE,4・10,"2F Famil Nakajima Park, 3-17 Nishi 1 Minami 11-Jo, Chuo-ku, Sapporo-shi, Hokkaido 064-0811",+81-11-563-1777,http://www.sapporo-language-center.asia/jp/,toosakajls@ybb.ne.jp
Hokkaido,Sapporo,Japanese Language Institute of Sapporo,4・10・1,"26-2-7 Minami-6-Jo-Nishi, Chuo-ku, Sapporo-shi, Hokkaido 064-0806",+81-11-562-7001,http://www.jli.co.jp/,info@jli.co.jp
Hokkaido,Sapporo,INTERNATIONAL ACADEMY,4・10・1,"Hinode Bldg., 13 Nishi-4, Minami-1, Chuo-ku, Sapporo-shi, Hokkaido 060-0061",+81-11-281-5188,http://www.myiay.com/j/,info@myiay.com
Hokkaido,Eniwa,HOKKAIDO COLLEGE OF HIGH TECHNOLOGY JAPANESE DEPARTMENT,4,"2-12-1 Meguminokita, Eniwa-shi, Hokkaido 061-1396",+81-123-39-6666,http://jpn.hht.ac.jp/,toosakajls@ybb.ne.jp
Akita,Akita,Japanese Language and Culture Course at North Asia University,4,"46-1 Jimorisawa, Shimokitatesakura, Akita-shi, Akita 010-8515",+81-18-836-1981,http://www.nau.ac.jp/bekka/,
Iwate,Morioka,MORIOKA JAPANESE LANGUAGE SCHOOL,4・10・1,"3-2-17 Chuo-dori, Morioka-shi, Iwate 020-0021",+81-19-651-5530,http://www.mjls.jp/index.html,
Miyagi,Sendai,AOBA FOREIGN LANGUAGE SCHOOL,4・10,"2-16-25 Hachiman, Aoba-ku, Sendai-shi,Miyagi 980-0871",+81-22-234-6883,,
Miyagi,Sendai,Global Japanese Academy,4・10・1,"1-1-15 Tsuchitoi, Aoba-ku, Sendai-shi, Miyagi 980-0065",+81-22-726-7888,http://www.e-888.net,
Miyagi,Sendai,International Academy Language School,4,"1-5-3 Tsutsujigaoka, Miyagi-ku, Sendai-shi, Miyagi 983-0852",+81-22-298-7031,http://www.ials.jp/ials/,info@ials.jp
Miyagi,Sendai,Sendai English Center Japanese Course,4,"6F Yamaguchi Bldg., 1-1-31 Ichiban-cho Aoba-ku, Sendai-shi, Miyagi 980-0811",+81-22-221-2555,,
Miyagi,Sendai,SENDAI INTERNATIONAL SCHOOL OF JAPANESE,4・10,"1-3-1 Kakyoin, Aoba-ku, Sendai-shi, Miyagi 980-0013",+81-22-224-6509,http://www.sjls.jp/,sjls@sjls.jp
Miyagi,Sendai,SENDAI LANGUAGE SCHOOL JAPANESE COURSE,4・7・10,"Sendai Chuo Bldg 2F-4F, 4-7-2 Chuo, Aoba-ku, Sendai-shi, Miyagi 980-0021",+81-22-266-8181,http://www.sendai-lang.com/,
Miyagi,Sendai,TOHOKU FOREIGN LANGUAGE  and  TOURISM COLLEGE,4・10,"2-1-13 Itsutsubashi, Aoba-ku, Sendai-shi, Miyagi 980-0022",+81-22-263-0820,http://www.tohokugaigo.ac.jp/,nihongo@tohokugaigo.ac.jp
Miyagi,Sendai,Toyo International Culture Academy,4・10,"1-4-18 Miyamachi, Aoba-ku, Sendai-shi, Miyagi 980-0004",+81-22-398-6818,http://www.toyo-kokusai.com/,
Yamagata,Shinjyou,Shinjo Computer Academy the Course of Japanese Education,4,"6162-11 Tohkamachi, Shinjo-shi, Yamagata 996-0091",+81-233-29-2121,http://sca.core.ac.jp/?page_id=12,
Yamagata,Yamagata,TOHOKU BUNKYO COLLEGE Japanese Language Section for Foreign Students,4,"515 Katayachi, Yamagata-shi, Yamagata, 990-2316",+81-23-688-2298,http://www.t-bunkyo.jp/academics/betsu/index.html,
Fukushima,Fukushima,FUKUSHIMA JAPANESE SCHOOL,4・10,"9-28 Chugen-cho, Fukushima-shi, Fukushima 960-8105",+81-24-523-1818,http://www.hkr.co.jp/fjs/,info-fjs@hkr.co.jp
Fukushima,Iwaki,Higashi Nippon International University Intensive Japanese Language Courses For Overseas Students,4・10,"37 Kotobuki Kanasawa, Kamata-aza, Iwaki-shi, Fukushima 970-8023",+81-246-35-0410,http://www.shk-ac.jp/department/foreign/head_msg.html,
Tokyo,Shinjuku-ku,Academy of Language Arts,4・7・10,"Dai-ni Tobundo Bldg., 2-16 Ageba-cho, Shinjuku-ku, Tokyo 162-0824",+81-3-3235-0071,http://www.ala-japan.com,info@ala-japan.com
Tokyo,Shinjuku-ku,ARC Academy Shinjuku,4・7・10・1,"Toshin-Nishi-Shinjuku Bldg. 3F 7-18-16 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023",+81-3-5337-0166,http://www.arc-academy.net/,shinjukunishi@arc.ac.jp
Tokyo,Shinjuku-ku,ELITE Japanese Language School,4・7・10,"1-8-10 Hyakunincho, Shinjuku-ku, Tokyo 169-0073",+81-3-8232-0550,http://www.elite-japan.com,info@elite-japan.com
Tokyo,Shinjuku-ku,Fuji International Language Institute,4・7・10,"1-7-20 Kita-Shinjuku, Shinjuku-ku, Tokyo169-0074",+81-3-3368-0531,http://www.fuji-edu.jp/,info@fuji-edu.jp
Tokyo,Shinjuku-ku,"Fuji International Language Institute, Waseda",4・10,"27-3 Wasedamachi, Shinjuku-ku, Tokyo 162-0042",+81-3-3203-6996,http://www.fuji-edu.jp,info@fuji-edu.jp
Tokyo,Shinjuku-ku,Human Academy Japanese Language School Tokyo Campus,7・10・1,"Waseda Yobiko 13 -Ji Hall 7F, 4-9-9 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-5348-8951,http://hajl.athuman.com,tjp22@athuman.com
Tokyo,Shinjuku-ku,ISI Language School,7・10・1,"1-1-1 Shimo-Ochiai, Shinjuku-ku, Tokyo 161-0033",+81-3-3227-6123,info@isi-education.com,http://www.isi-education.com
Tokyo,Shinjuku-ku,International Japanese Training Center,4・10,"Yamazaki Bldg. 202, 2-10-2 Okubo, Shinjuku-ku, Tokyo 169-0072",+81-3-3208-5671,http://www.ijtc.jp/english/index.htm,info@ijtc.jp
Tokyo,Shinjuku-ku,KCP Japanese Language School,4・7・10・1,"Syoei Yotsuya Bldg., 4-25-6 Yotsuya, Shinjuku-ku, Tokyo 160-0004",+81-3-3356-3141,http://www.japanfuji.jp/,info@japanfuji.jp
Tokyo,Shinjuku-ku,"Japanese Language Institute, Nichibei Kaiwa Gakuin, International Education Center",4・7・10・1,"1-21 Yotsuya, Shinjuku-ku, Tokyo 160-0004",+81-3-3359-9600,http://www.nichibei.ac.jp/jli/,jli-info@nichibei.ac.jp
Tokyo,Shinjuku-ku,JASSO Tokyo Japanese Language Education Center,4・10,"3-22-7 Kita-Shinjuku, Shinjuku-ku Tokyo 169-0074",+81-3-3371-7267,http://www.jasso.go.jp/tokyo/index.html,koumu@jasso.go.jp
Tokyo,Shinjuku-ku,Kai Japanese Language School,4・7・10・1,"Miyuki Bldg. 3F, 1-15-18 Okubo, Shinjuku-ku, Tokyo 169-0072",+81-3-3205-1356,http://www.kaij.jp,admission@kaij.co.jp
Tokyo,Shinjuku-ku,KCP International Language Institute,7・10,"KCP the main Bldg., 1-29-12 Shinjuku, Shinjuku-ku, Tokyo 160-0022",+81-3-3356-2359,http://www.kcp.ac.jp,info@kcp.ac.jp
Tokyo,Shinjuku-ku,Labo Japanese Language Institute,7・10・1,"Narukozaka haitsu 2F, 6-26-11 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023",+81-3-5908-3877,http://www.labo-nihongo.com,exchange@labo-global.co.jp
Tokyo,Shinjuku-ku,Mejiro University,-,"4-31-1 Nakaochiai, Shinjuku-ku, Tokyo 161-8539",+81-3-5996-3201,http://www.mejiro.ac.jp/eng/university/index.html,int.center@mejiro.ac.jp
Tokyo,Shinjuku-ku,MIDREAM School of Japanese Language,4・7・10・1,"2-7-11 Hyakunincho, Shinjuku-ku, Tokyo 169-0073",+81-3-3368-4931,http://midream.ac.jp/,midream2005@yahoo.co.jp
Tokyo,Shinjuku-ku,Mitsumine Career Academy Japanese Language Course,7・10・1,"Daisan Yamahiro Bldg., 4-1-1 Kita-shinjuku, Shinjuku-ku, Tokyo 169-0074",+81-3-3368-4931,http://www.mcaschool.jp,info@mcaschool.jp
Tokyo,Shinjuku-ku,HIGASHI SHINJUKU JAPANESE LANGUAGE SCHOOL,7・10・1,"West Bldg., 7-18-7 Shinjuku, Shinjuku-ku, Tokyo 160-0022",+81-3-5292-6355,http://www.nishi-tokyo-jls.com/english/index.html,wu@nishi-tokyo-jls.com
Tokyo,Shinjuku-ku,Samu Language School,7・10・1,"2-2-10 Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073",+81-3-3205-2020,http://www.samu-language.com,kyomusamu@aol.com
Tokyo,Shinjuku-ku,Sendagaya Japanese Institute West Branch,4・10・1,"Shimo-Ochiai Daiwa Bldg., 1-1-29 Nakaochiai, Shinjuku-ku, Tokyo 161-0032",+81-3-3953-691,http://www.jp-sji.org/,jc@jp-sji.org
Tokyo,Shinjuku-ku,Shinjuku Gyoen Gakuin,7・10・1,"1-26-12 Shinjuku, Shinjuku-ku, Tokyo 160-0022",+81-3-3356-1161,http://www.gyoen.co.jp,shinjuku@gyoen.co.jp
Tokyo,Shinjuku-ku,Shinjuku International Exchange School,7・10・1,"1-22-25 Hyakunin-cho, Shinjuku-ku, Tokyo 169-0073",+81-3-5348-6591,http://ija-shinjuku.kohgakusha.com,skk-shinjuku@kohgakusha.com
Tokyo,Shinjuku-ku,Shinjuku Japanese Language Institute,4・10,"2-9-7 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-5273-0044,http://www.sng.ac.jp/,jimu_sng_1975@sng.ac.jp
Tokyo,Shinjuku-ku,Tokyo Cosmo Academy,4・10,"4-9-2 Takadanobaba, Shinjuku-ku, Tokyo 169-0075",+81-3-3371-2195,http://www.tokyo-cosmo.com/,info@tokyo-cosmo.com
Tokyo,Shinjuku-ku,Tokyo ELS Japanese Language School,7・10・1,"Okubo Station, Shin-Okubo Station, Shinjuku Station, Higashi-Shinjuku Station",+81-3-5273-0701,http://www.tokyoels.co.jp/,els@yacht.ocn.ne.jp
Tokyo,Shinjuku-ku,Tokyo Foreign Language College,1・4,"7-3-8 Nishi-Shinjuku, Shinjuku-ku, Tokyo 160-0023",+81-3-3367-1181,http://www.tflc.ac.jp/,ryugaku@tflc.ac.jp
Tokyo,Shinjuku-ku,Tokyo International Japanese School,4・10・1,"2-13-6 Shinjuku, Shinjuku-ku, Tokyo 160-0022",+81-3-3350-9761,http://www.tijs.jp,info@tijs.jp
